id;title;production;length;presentation;imdbLink
410;Lelki klinika;1941;73;1941.12.04;https://www.imdb.com/title/tt0244625/?ref_=nv_sr_srsg_0_tt_3_nm_1_in_0_q_lelki%2520kli
411;Lovagias ügy;1937;77;1937.02.11;https://www.imdb.com/title/tt0027907/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_lovagias%2520%25C3%25BCgy
412;Machita;1943;97;1944.04.05;https://www.imdb.com/title/tt0036124/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_machita
413;Madách;1944;81;;
414;Magdát kicsapják;1937;90;1938.03.05;https://www.imdb.com/title/tt0030399/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_magd%25C3%25A1t%2520kicsa
415;Magyar feltámadás;1939;81;1939.02.17;https://www.imdb.com/title/tt0896946/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_magyar%2520felt%25C3%25A1mad%25C3%25A1s
416;Majális;1943;70;1944.10.01;https://www.imdb.com/title/tt0127672/?ref_=nv_sr_srsg_0_tt_4_nm_4_in_0_q_maj%25C3%25A1lis
417;Makacs Kata;1943;79;1943.10.15;https://www.imdb.com/title/tt0134807/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_makacs%2520kata
418;Makrancos hölgy;1943;76;1943.08.19;https://www.imdb.com/title/tt0036130/?ref_=nv_sr_srsg_0_tt_6_nm_0_in_0_q_makrancos%2520h%25C3%25B6lgy
420;Mátyás rendet csinál;1939;81;1940.02.06;https://www.imdb.com/title/tt0170274/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_m%25C3%25A1ty%25C3%25A1s%2520rendet%2520csin%25C3%25A1l
421;Megálmodtalak;1943;76;1943.10.12;https://www.imdb.com/title/tt0240718/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_meg%25C3%25A1lmodtalak
422;Méltóságos kisasszony;1936;68;1937.01.26;https://www.imdb.com/title/tt0028020/?ref_=nv_sr_srsg_0_tt_4_nm_0_in_0_q_M%25C3%25A9lt%25C3%25B3s%25C3%25A1gos%2520kisasszony
423;Miért?;1941;84;1941.12.22;https://www.imdb.com/title/tt0033913/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_MI%25C3%25A9rt%253F%25201941
424;Mindent a nőért!;1933;85;1934.01.31;https://www.imdb.com/title/tt0240728/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_MIndent%2520a%2520n%25C5%2591%25C3%25A9t
425;Muki;1943;83;1944.02.09;
426;Nászinduló;1943;94;1944.12.10;https://www.imdb.com/title/tt0036224/?ref_=nv_sr_srsg_1_tt_4_nm_1_in_0_q_N%25C3%25A1szindul%25C3%25B3
427;Ne kérdezd, ki voltam;1941;102;1941.08.22;https://www.imdb.com/title/tt0033943/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_ne%2520k%25C3%25A9rdezd%2520ki%2520voltam
428;Négylevelű lóhere;1931;;;https://www.imdb.com/title/tt0241780/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_N%25C3%25A9gylevel%25C5%25B1%2520l
429;Nehéz apának lenni;1938;;1938.09.16;https://www.imdb.com/title/tt0030498/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_Neh%25C3%25A9z%2520ap%25C3%25A1m
430;Nem loptam én életemben;1939;90;1939.07.23;https://www.imdb.com/title/tt0189797/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_nem%2520loptam%2520%25C3%25A9n
431;Nemes rózsa;1943;77;;https://www.imdb.com/title/tt1000717/?ref_=nv_sr_srsg_1_tt_3_nm_5_in_0_q_nemes%2520r
433;Nincsenek véletlenek;1938;74;1939.12.21;https://www.imdb.com/title/tt0240763/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_nincsenek%2520v%25C3%25A9letlenek
434;Orient express;1943;75;1943.07.22;https://www.imdb.com/title/tt0869981/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_orient%2520express%25201943
435;Ördöglovas;1943;79;1944.03.15;https://www.imdb.com/title/tt0036569/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_%25C3%25B6rd%25C3%25B6glovas
436;Pardon, tévedtem;1933;96;1933.10.24;https://www.imdb.com/title/tt0488771/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_pardon%2520t%25C3%25A9vedte
437;Pénz áll a házhoz;1939;90;1939.07.20;https://www.imdb.com/title/tt0241865/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_p%25C3%25A9nz%2520%25C3%25A1ll%2520a%2520h%25C3%25A1zos
438;Pesti mese;1937;77;1937.05.27;https://www.imdb.com/title/tt0029397/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_pesti%2520mese
439;Pogányok;1936;;1937.04.29;https://www.imdb.com/title/tt0028113/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_pog%25C3%25A1nyok
440;Pusztai szél;1937;77;1937.11.11;https://www.imdb.com/title/tt0029450/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_pusztai%2520sz%25C3%25A9l
441;Rád bízom a feleségem;1937;95;1937.03.18;https://www.imdb.com/title/tt0029507/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_r%25C3%25A1d%2520b%25C3%25ADzom%2520a%2520feles%25C3%25A9gem
442;Rákóczi induló;1933;84;1933.11.23;https://www.imdb.com/title/tt0024513/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_R%25C3%25A1k%25C3%25B3czi%2520i
443;Rákóczi nótája;1943;97;1943.11.24;https://www.imdb.com/title/tt0036320/?ref_=nv_sr_srsg_2_tt_5_nm_3_in_0_q_R%25C3%25A1k%25C3%25B3czi%2520
444;Rotschild leánya;1934;;1934.06.04;https://www.imdb.com/title/tt0241902/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_Rostchild%2520le%25C3%25A1nya
445;Sarajevo;1940;81;1940.09.02;https://www.imdb.com/title/tt0033023/?ref_=nv_sr_srsg_1_tt_6_nm_0_in_0_q_sarajevo%25201940
446;A sárga csikó;1936;77;1936.09.03;https://www.imdb.com/title/tt0028338/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_A%2520s%25C3%25A1rga%2520csi
447;Szakítani nehéz dolog;1942;95;1942.12.23;https://www.imdb.com/title/tt1221971/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_szak%25C3%25ADtani%2520neh%25C3%25A9z%2520dolog
449;Zúgnak a szirénák;1939;88;1939.11.30;https://www.imdb.com/title/tt1058035/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_z%25C3%25BAgnak%2520a%2520szir%25C3%25A9n%25C3%25A1k
450;Szegény gazdagok;1938;66;1938.12.22;https://www.imdb.com/title/tt0030826/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_szeg%25C3%25A9ny%2520gazdagok
451;Szép csillag;1942;95;1942.12.25;https://www.imdb.com/title/tt0035409/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_sz%25C3%25A9p%2520csillag
452;Szeptember végén;1942;87;1943.08.18;https://www.imdb.com/title/tt0165969/?ref_=nv_sr_srsg_1_tt_3_nm_1_in_0_q_szeptember%2520v%25C3%25A9g%25C3%25A9n
453;Szerelmes szívek;1944;54;1944.07.20;https://www.imdb.com/title/tt0440845/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_szerelmes%2520sz%25C3%25ADve
454;Szerelmi álmok;1935;95;1935.08.15;https://www.imdb.com/title/tt0240954/?ref_=nv_sr_srsg_1_tt_8_nm_0_in_0_q_szerelmi%2520%25C3%25A1lmo
455;Szerelmi láz;1942;72;1943.05.21;https://www.imdb.com/title/tt0035407/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_szerelmi%2520l%25C3%25A1
456;Szerencsés flótás;1943;79;1943.05.21;https://www.imdb.com/title/tt0036410/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_szerencs%25C3%25A9s%2520f
457;Szerető fia, Péter;1942;82;1942.12.25;https://www.imdb.com/title/tt0035408/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_szeret%25C5%2591%2520f
459;Tavaszi zápor;1932;78;1932.11.04;https://www.imdb.com/title/tt0023190/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_tavaszi%2520z
460;Te csak pipálj, Ladányi!;1938;70;1938.02.22;https://www.imdb.com/title/tt0030835/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_te%2520csak%2520pip%25C3%25A1lj
461;Te vagy a dal;1940;77;1940.06.03;https://www.imdb.com/title/tt0242023/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_te%2520vagy%2520a%2520dal
462;Tisztelet a kivételnek;1936;70;1937.01.09;https://www.imdb.com/title/tt0028386/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tisztelet%2520a%2520kiv%25C3%25A9telnek
463;Tokaji rapszódia;1937;69;1937.12.23;https://www.imdb.com/title/tt0029677/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_tokaji%2520rapsz%25C3%25B3dia
464;Torockói menyasszony;1937;75;1937.11.23;https://www.imdb.com/title/tt0029683/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_torock%25C3%25B3i
466;Uz Bence;1938;73;1938.11.18;https://www.imdb.com/title/tt0149320/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_uz%2520be
467;Üzenet a Volga partról;1942;71;1942.12.14;https://www.imdb.com/title/tt0241139/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_%25C3%25BCzenet%2520a%2520volga
469;Valamit visz a víz;1943;88;1944.01.26;https://www.imdb.com/title/tt0036488/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_valamit%2520visz%2520a%2520v
470;Varjú a toronyórán;1938;79;1938.11.24;https://www.imdb.com/title/tt0149329/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_varj%25C3%25BA%2520a%2520toro
471;Vica, a vadevezős;1933;44;1933.06.01;https://www.imdb.com/title/tt0024734/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_vica%2520a%2520vad
472;Viharbrigád;1943;73;1944.04.10;https://www.imdb.com/title/tt0158339/?ref_=nv_sr_srsg_0_tt_2_nm_1_in_0_q_viharbrig%25C3%25A1d
473;Zavaros éjszaka;1940;85;1940.08.15;https://www.imdb.com/title/tt0170831/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_zavaros%2520%25C3%25A9jszaka
474;Zivatar Kemenespusztán;1936;;1936.11.19;https://www.imdb.com/title/tt0028531/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_zivatar%2520ke
475;Zörgetnek az ablakon;1943;;;https://www.imdb.com/title/tt1177965/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_z%25C3%25B6rgetnek%2520az%2520
601;Tavasz a viharban;1929;;1929.10.06;https://www.imdb.com/title/tt0242022/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_tavasz%2520a%2520vi
604;Én voltam;1936;58;1936.10.08;https://www.imdb.com/title/tt0887903/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_%25C3%25A9n%2520voltam
605;Szomorú csütörtök, vidám vasárnap;1936;;1936.07.05;https://www.imdb.com/title/tt0028337/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_szomor%25C3%25BA%2520cs%25C3%25BCt%25C3%25B6rt%25C3%25B6k
606;A titokzatos idegen;1936;83;1937.05.05;https://www.imdb.com/title/tt1995244/?ref_=nv_sr_srsg_3_tt_7_nm_0_in_0_q_a%2520titokzatos%2520idegen
607;Vihar után;1944;82;1945.10.27;https://www.imdb.com/title/tt1916757/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_vihar%2520ut%25C3%25A1n
