id;title;production;length;presentation;imdbLink
68;Gyimesi vadvirág;1938;82;1939.01.12;https://www.imdb.com/title/tt0148244/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_gyimesi%2520vadvir%25C3%25A1g
69;Gyurkovics fiúk;1940;89;1941.08.14;https://www.imdb.com/title/tt0032565/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_gyurkovics%2520fi%25C3%25BAk
70;Halálos tavasz;1939;93;1939.12.21;https://www.imdb.com/title/tt0031400/?ref_=nv_sr_srsg_4_tt_7_nm_0_in_0_q_hal%25C3%25A1los%2520
72;A harmincadik;1942;91;1942.10.01;https://www.imdb.com/title/tt0034830/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_a%2520harmincadik
73;Hat hét boldogság;1939;76;1939.11.23;https://www.imdb.com/title/tt0136986/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_hat%2520h%25C3%25A9t%2520boldog
74;Havi 200 fix;1936;67;1936.09.10;https://www.imdb.com/title/tt0027721/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_havi%2520200
75;Hazafelé;1940;90;1940.09.18;https://www.imdb.com/title/tt0032573/?ref_=nv_sr_srsg_2_tt_8_nm_0_in_0_q_hazafel%25C3%25A9
76;Hazajáró lélek;1940;88;1940.10.28;https://www.imdb.com/title/tt0032574/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_hazaj%25C3%25A1r%25C3%25B3
77;Háromszázezer pengő az utcán;1937;67;1937.12.02;https://www.imdb.com/title/tt0028541/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_h%25C3%25A1romsz%25C3%25A1zezer%2520
78;Házasság;1942;80;1942.09.16;https://www.imdb.com/title/tt0034879/?ref_=nv_sr_srsg_0_tt_3_nm_0_in_0_q_h%25C3%25A1zass%25C3%25A1g%25201942
79;Hetenként egyszer láthatom;1937;67;1937.02.25;https://www.imdb.com/title/tt0028996/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_hetenk%25C3%25A9nt%2520egyszer%2520
80;Hétszilvafa;1940;82;1940.12.05;https://www.imdb.com/title/tt0844007/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_h%25C3%25A9tszilvafa
81;Hotel kikelet;1937;77;1937.08.19;https://www.imdb.com/title/tt0029025/?ref_=nv_sr_srsg_0_tt_1_nm_0_in_0_q_hotelkikelet
82;A hölgy egy kissé bogaras;1938;76;1938.10.11;https://www.imdb.com/title/tt0137007/?ref_=nv_sr_srsg_0_tt_2_nm_0_in_0_q_a%2520h%25C3%25B6lgy%2520egy%2520kiss%25C3%25A9
83;"A ""28-as""";1943;70;1943.06.30;https://www.imdb.com/title/tt0926184/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_a%2520%252228%2522-as%25201943
84;Ida regénye;1934;76;1934.03.15;https://www.imdb.com/title/tt0025295/?ref_=nv_sr_srsg_1_tt_4_nm_4_in_0_q_ida%2520reg
85;Igen vagy nem?;1940;81;1940.09.26;https://www.imdb.com/title/tt0032625/?ref_=nv_sr_srsg_0_tt_5_nm_0_in_0_q_igen%2520vagy%2520nem
86;Az iglói diákok;1934;89;1935.02.21;https://www.imdb.com/title/tt0026520/?ref_=nv_sr_srsg_1_tt_2_nm_3_in_0_q_az%2520igl%25C3%25B3i%2520d
